CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,CodigoInvente,EjerceControl,DenominacionSocial,FechaAlta,Adscripcion_Codigo,Adscripcion_Descripcion,Observaciones,CodigoOrigen,CodigoDIR3,CausaDeAlta_Codigo,CausaDeAlta_Descripcion,FormaJuridica_Codigo,FormaJuridica_Descripcion,RegimenContable_Codigo,RegimenContable_Descripcion,RegimenControl_Codigo,RegimenControl_Descripcion,RegimenPresupuestario_Codigo,RegimenPresupuestario_Descripcion,ClasificacionCN_Codigo,ClasificacionCN_Descripcion,CondicionMedioPropio,ClasificacionEntidad,Direccion,Localidad,Provincia_Codigo,Provincia_Descripcion,CodigoPostal,Telefono,SitioWeb,eMail,Denominacion,Codigo,PorcentajeParticipacion,PorcentajeVoto,Actividad_Situacion_Codigo,Actividad_Situacion_Descripcion,Actividad_Sector_Codigo,Actividad_Sector_Descripcion,ObjetoSocial,Codigo,Denominacion,Venta_Bienes_DentroSP_Administracion,Venta_Bienes_Dentro_SP_Otras,Venta_Bienes_DentroSP_EntidadesSPI,Venta_Bienes_SectorPrivado,Transf_Subvenciones_Administracion,Transf_Subvenciones_Otras,Transf_Subvenciones_SPI,Transf_Subvenciones_UnionEuropea,Otros_Ingresos,Denominacion,FuenteAlta,InformacionFuenteAlta,AltaDesde,FechaVersion,Disponible,FechaBaja,???
INV00000014,Academia Valenciana de la Lengua,2,Ente público,S4600019F,,1700000BU028,INV00000014,Comunidad Autónoma Valenciana,Academia Valenciana de la Lengua,1998-09-22T00:00:00,17,Comunitat Valenciana,"soporte documental LEY 7/1998, de 16 de septiembre (DOGV nº3334, 21-09-98",1700000BU028,,2,Incorporación al SPI,2,Ente público,1,Público,1,Función interventora; Control financiero permanente; Auditoría de cuentas,1,Limitativo,2,S.1312 Administraciones Públicas: Administración Regional,,,"Avda. de la Constitució, 284 - Monestir de Sant Miquel dels Reis                                         ",Valencia                                                                                                                                                                                                                                                  ,46,Valencia/València,46019,963874023,www.avl.gva.es                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,Comunidad Autónoma Valenciana,1700000BB000,100,100,1,Con actividad económica,1,Administrativo ,Determinar y elaborar la normativa lingüistica del valenciano,O8411,Actividades generales de la Administración Pública,,,,,,,,,,Academia Valenciana de la Lengua,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000015,Academia Vasca de Policía y Emergencias ,8,Organismo autónomo administrativo,Q5150008J,A16007220,1500000BV009,INV00000015,Comunidad Autónoma del País Vasco,Academia Vasca de Policía y Emergencias ,2012-07-07T00:00:00,15,Pais Vasco,"soporte documental LEY 15/2012, 28-6 BO País Vasco nº 132 de 06/07/2012",1500000BV009,A16007220,2,Incorporación al SPI,8,Organismo autónomo administrativo,1,Público,1,Función interventora; Control financiero permanente; Auditoría de cuentas,1,Limitativo,2,S.1312 Administraciones Públicas: Administración Regional,,,"Ctra. N-104, Km. 356                                                                         ",Arkaute                                                                                                                                                                                                                                                   ,1,Araba/Álava,1192,                         ,www.arkauteakademia.net                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,Comunidad Autónoma del País Vasco,1500000BB000,100,100,1,Con actividad económica,1,Administrativo ,Crear las condiciones y medios para lograr el desarrollo de su actividad.,P8559,Otra educación n.c.o.p.,,,,,,,,,,Academia Vasca de Policía y Emergencias,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000016,Acevin,11,Otra institución sin ánimo de lucro,G13240072,,0800017NN000,INV00000016,Ayuntamiento de Alcázar de San Juan,Acevin,1994-11-04T00:00:00,0,Varias administraciones públicas,soporte documental ESTATUTOS 04.11.1994,,,2,Incorporación al SPI,11,Otra institución sin ánimo de lucro,2,Privado,0,,2,Estimativo,3,S.1313 Administraciones Públicas: Administración Local,,,"Plaza de España, 5                                                                               ",Alcazar de San Juán                                                                                                                                                                                                                                       ,13,Ciudad Real,13600,0,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Aguilar de la Frontera,0114002AA000,0,0,1,Con actividad económica,3,Fundacional,,A0161,Actividades de apoyo a la agricultura,,,,,,,,,,Otros servicios de reservas y actividades relacionadas con los mismos,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000017,"Acosol, S.A.",12,Sociedad mercantil ,A29658416,LA0011264,0129001MP001,INV00000017,Mc. Costa del Sol Occidental,"Acosol, S.A.",1993-12-14T00:00:00,0129001MM000,Mc. Costa del Sol Occidental,soporte documental ESCRITURA 14.12.1993,0129001MP001,LA0011264,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,7,S.11001 Sociedades no financieras Públicas: Administración Local,,,"Ctra. N- 340, Km. 195                                                                         ",Marbella                                                                                                                                                                                                                                                  ,29,Málaga,29600,952839329,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Mc. Costa del Sol Occidental,0129001MM000,100,100,1,Con actividad económica,2,Empresarial,,E3600,"Captación, depuración y distribución de agua",,,,Principal,,,,,,"Acosol, S.A.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000018,Actius de Muntanya SA,12,Sociedad mercantil ,A08141897,,0900000BP068,INV00000018,Comunidad Autónoma de Cataluña,Actius de Muntanya SA,1988-11-25T00:00:00,9,Cataluña,soporte documental ESCRITURA nº2195 de 25/11/1988,0900000BP068,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,6,S.11001 Sociedades no financieras Públicas: Administración Regional,,,"C/ dels Vergòs, 44                                                                              ",Barcelona                                                                                                                                                                                                                                                 ,8,Barcelona,8017,933663000,                                                                                                                                                                                                                                                          ,mtlaunes@fgc.cat                                                                                                                                                                                                                                          ,Ferrocarrils de la Generalitat de Catalunya,INV00002628,100,100,1,Con actividad económica,2,Empresarial,"Construcción y compra de toda clase de edificios para explotarlos en arriendo, o para la venta de los mismos, total o por pisos y locales separados, con la potestad de adquirir solares, contratar y ejecutar obras. Tiene como actividad principal la tenencia de la estación de esquí de Boí Taüll.",R9329,Otras actividades recreativas y de entretenimiento,,,,Principal,Secundaria,,,,,"Actius de Muntanya, S.A.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000019,"Activa Mutua 2008, Mutua Colaboradora con la Seguridad Social nº 3",15,Mutua colaboradora con la Seguridad Social,G43941442,,2503OE,INV00000019,Seguridad Social,"Activa Mutua 2008, Mutua Colaboradora con la Seguridad Social nº 3",2008-01-01T00:00:00,21,"Ministerio de Inclusión, Seguridad Social y Migraciones","La estructura de dominio hace referencia exclusivamente a la vertiente de colaboración con la Seguridad Social, ingresos procedentes de las cuotas, y derechos, acciones y recursos relacionados con ellos, los cuales forman parte del patrimonio de la Seguridad Social para el desarrollo de las funciones que tiene atribuidas, bajo la dirección y tutela del Ministerio correspondiente.                                                           La Resolución de 11 de febrero de 2008, de la Secretaría de Estado de la Seguridad Social, autoriza la fusión de las Mutuas de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social, Reddis-Matt, MUPA y FIMAC.&#xD;
Con efectos de 1 de enero de 2008, se lleva a cabo la fusión de Mutua Reddis-Matt,  MUPA, y FIMAC, aprobando la denominación de Activa Mutua 2008. &#xD;
Actualización de la denominación de la Mutuas según el artículo 69 de la Ley 35/2014, de 26 de septiembre, por la que se modifica el Texto Refundido de la Ley General de la Seguridad Social. La denominación de las Mutuas incluirá ""Mutua Colaboradora de la Seguridad Social"" seguida del nº con el que haya sido inscrita.",OE2503,,1,De nueva creación. Fusión,15,Mutua colaboradora con la Seguridad Social,1,Público,3,Auditoría de cuentas,1,Limitativo,4,S.1314 Administraciones Públicas: Fondos de la Seguridad Social,No,Grupo 2,"Carrer de Pin i Soler, 12                                                                              ",Tarragona                                                                                                                                                                                                                                                 ,43,Tarragona,43002,977233012,www.activamutua.es                                                                                                                                                                                                                                 ,notificaciones@activamutua.es                                                                                                                                                                                                                             ,"Administración General del Estado (AGE):Ministerio de Inclusión, Seguridad Social y Migraciones",AG0,100,100,1,Con actividad económica,1,Administrativo ,"Colaborar en la gestión de la Seguridad Social, sin perjuicio de poder realizar para sus asociados otras prestaciones, servicios y actividades que les sean legalmente atribuidas.
Colaboración en la gestión de las contingencias de accidentes de trabajo y enfermedades profesionales.
Colaboración en la gestión de la prestación económica de incapacidad temporal derivada de contingencias comunes.",O843,Seguridad Social obligatoria,Secundaria,Secundaria,,Principal,Secundaria,Secundaria,,,,"Activa Mutua 2008», Mutua de accidentes de trabajo y enfermedades profesionales de la Seguridad Social n.º 3,","BOE» núm. 56, de 5 de marzo de 2008","Resolución de 11 de febrero de 2008, de la Secretaría de Estado de la Seguridad Social, por la que se autoriza la fusión de las Mutuas de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social, «Mutua Reddis-Matt», «MUPA» y «FIMAC».",3/5/2008,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000020,Actividades de Limpieza y Gestión S.A.,12,Sociedad mercantil ,A11815172,,0111004AP006,INV00000020,Ayuntamiento de Algeciras,Actividades de Limpieza y Gestión S.A.,2004-12-23T00:00:00,0111004AA000,Ayuntamiento de Algeciras,soporte documental ACUERDO 23.12.2004,0111004AP006,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,3,S.1313 Administraciones Públicas: Administración Local,,,"Avda. Virgen del Carmen, 29                                                                              ",Algeciras                                                                                                                                                                                                                                                 ,11,Cádiz,11201,956587649,www.ayto-algeciras.es                                                                                                                                                                                                                                     ,viceinterventor@ayto-algeciras.es                                                                                                                                                                                                                         ,Ayuntamiento de Algeciras,0111004AA000,100,0,1,Con actividad económica,2,Empresarial,,E38,"Recogida, tratamiento y eliminación de residuos; valorización",,,,,,,,,,Actividades de Limpieza y Gestión S.A.,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000021,"Actividades Integradas, S.A.",12,Sociedad mercantil ,A59313239,LA0013975,0908252AP002,INV00000021,Ayuntamiento de Barberà del Vallès,"Actividades Integradas, S.A.",1990-04-03T00:00:00,0908252AA000,Ayuntamiento de Barberà del Vallès,soporte documental ESCRITURA 03.04.1990,0908252AP002,LA0013975,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,7,S.11001 Sociedades no financieras Públicas: Administración Local,,,"Carrer Mogoda, 1                                                                               ",Barberà del Vallès                                                                                                                                                                                                                                        ,8,Barcelona,8210,937297272,www.nodusbarbera.com                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Barberà del Vallès,0908252AA000,100,100,1,Con actividad económica,2,Empresarial,,O841,Administración Pública y de la política económica y social,Secundaria,Secundaria,,Principal,,,,,Secundaria,"Actividades Integradas, S.A.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000022,"Activitats Lúdiques Pirinenques, S.L.",12,Sociedad mercantil ,B25401761,,0925123AP002,INV00000022,Ayuntamiento de Lladorre,"Activitats Lúdiques Pirinenques, S.L.",1997-12-23T00:00:00,0925123AA000,Ayuntamiento de Lladorre,soporte documental ESTATUTOS 23.12.1997,0925123AP002,,2,Incorporación al SPI,12,Sociedad mercantil ,0,,3,Auditoría de cuentas,2,Estimativo,12,Unidad pendiente de clasificación,,,"C/ Major, 5                                                                               ",Lladorre                                                                                                                                                                                                                                                  ,25,Lleida,25576,973623000,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Lladorre,0925123AA000,100,100,1,Con actividad económica,2,Empresarial,,R93,"Actividades deportivas, recreativas y de entretenimiento",,,,,,,,,,"Activitats Lúdiques Pirinenques, S.L.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000023,Actuaciones Urbanas de Valencia ,12,Sociedad mercantil ,A46359428,,1746250AP004,INV00000023,Ayuntamiento de València,Actuaciones Urbanas de Valencia ,1986-10-07T00:00:00,1746250AA000,Ayuntamiento de València,soporte documental ESCRITURA 07.10.1986,1746250AP004,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,7,S.11001 Sociedades no financieras Públicas: Administración Local,,,"C/ Antiga Senda Senent, 8, 6º                                                                           ",Valencia                                                                                                                                                                                                                                                  ,46,Valencia/València,46023,963371101,Aumsa.es                                                                                                                                                                                                                                                  ,aumsa@aumsa.es                                                                                                                                                                                                                                            ,Ayuntamiento de València,1746250AA000,100,100,1,Con actividad económica,2,Empresarial,,F4299,Construcción de otros proyectos de ingeniería civil n.c.o.p.,Secundaria,,,Principal,Secundaria,,,,Secundaria,Actuaciones Urbanas de Valencia,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
